#data taken from https://github.com/defeo/Fast-Algorithms-for-computing-isogenies/blob/master/C2.dat
# gf2x, @rhea (5/10/2010)
# p=2, d=1023
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
3	0.30995	0.22696	0.11898	0.24796	0.11198	0.001	4	0.00075	0
5	0.75588	0.73688	0.37594	0.63690	0.46492	0.00899	8	0.00099	0.00028
7	0.73788	0.73788	0.20996	0.63790	0.46492	0.00899	14	0.00128	0.00053
11	2.31565	2.26966	1.04384	1.55976	0.87486	0.04599	4	0.00249	0.00199
13	2.27265	2.26966	0.51092	1.55976	0.87686	0.04599	17	0.00335	0.00181
17	6.79797	6.70198	2.81157	3.73043	2.6176	0.28295	13	0.00492	0.00758
19	6.72698	6.74497	1.21581	3.75043	2.6316	0.28495	21	0.00599	0.00749
23	6.76097	6.75397	1.21582	3.75843	2.6346	0.28695	28	0.00810	0.00751
29	6.73497	6.73598	1.21482	3.75343	2.6226	0.28395	1	0.01299	0.00751
31	6.72998	6.72598	1.21282	3.75143	2.6146	0.28395	13	0.01322	0.00749
37	19.2981	19.0561	7.39088	8.83466	7.80081	1.71674	128	0.01752	0.03047	# Isogeny not found
41	19.0491	19.0961	2.84057	8.87665	7.84081	1.72474	62	0.02123	0.03047
43	19.1431	19.1311	2.83657	8.87065	7.83081	1.71574	128	0.02257	0.03033	# Isogeny not found
47	19.0581	19.0381	2.82457	8.82166	7.79781	1.71674	84	0.02561	0.03022
53	19.1001	19.0871	2.83857	8.84665	7.79982	1.71474	63	0.03056	0.03030
59	19.0441	19.0391	2.82757	8.83966	7.81081	1.72374	117	0.03549	0.03046
61	19.1651	19.1461	2.83957	8.88065	7.83081	1.72274	5	0.03799	0.03049
67	53.6078	53.1949	19.1451	20.7358	23.6004	10.3664	104	0.04613	0.12232
71	53.0419	53.0639	6.53701	20.6539	23.5994	10.3674	256	0.05154	0.12236
73	53.0729	53.0499	6.54001	20.6999	23.6034	10.3684	256	0.05442	0.12210	# Isogeny not found
79	52.818	52.889	6.53401	20.6249	23.5134	10.3274	46	0.06179	0.12164
