#data taken from https://github.com/defeo/Fast-Algorithms-for-computing-isogenies/blob/master/C2.dat
# gf2x, @rhea (5/10/2010)
# p=2, d=1023
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
83	53.0259	53.0179	6.53501	20.6549	23.6004	10.3664	105	0.06738	0.12267
89	53.0539	53.0159	6.52701	20.6669	23.5954	10.3634	63	0.07417	0.12193
101	52.9929	53.0009	6.52801	20.6459	23.6044	10.3644	46	0.08811	0.12220
103	53.0149	53.0659	6.53701	20.6669	23.6174	10.3594	82	0.08987	0.12236
107	53.0149	53.0299	6.52601	20.6699	23.6104	10.3774	256	0.09434	0.12314	# Isogeny not found
109	53.2909	53.3019	6.567	20.7668	23.7034	10.3984	256	0.09658	0.12292	# Isogeny not found
113	55.2956	55.9595	6.88795	21.8037	24.9332	10.9433	183	0.10600	0.12938
127	55.9785	55.9955	6.86796	21.8187	24.9142	10.9433	217	0.12181	0.12951
131	146.976	145.767	48.3077	50.2704	74.0677	66.018	355	0.13815	0.51824
137	145.14	145.258	15.5966	50.1064	73.7008	65.808	504	0.15660	0.52002
139	137.684	136.687	14.6828	47.1628	69.4964	61.9716	227	0.15099	0.48534
149	146.896	148.482	15.7526	50.6133	74.3297	66.3849	446	0.18657	0.52293
151	146.445	146.435	15.7376	50.8643	76.1434	66.8998	40	0.18952	0.52135
157	147.472	147.502	15.7356	50.5853	74.5267	66.3769	498	0.20140	0.52193
163	137.867	138.278	14.7388	47.3448	69.6014	62.1865	512	0.19984	0.48731	# Isogeny not found
167	137.178	137.184	14.7398	47.4248	69.6954	62.2215	393	0.20738	0.48802
173	137.224	137.183	14.7438	47.3538	69.8164	62.1596	285	0.21870	0.48822
179	137.731	137.538	14.7628	47.4928	69.8064	62.3375	233	0.22685	0.48964
181	137.336	137.222	14.7308	47.3188	69.7104	62.1575	395	0.22890	0.48792
191	137.319	137.236	14.7448	47.3538	69.7024	62.1546	512	0.24044	0.48738	# Isogeny not found
193	137.192	137.362	14.7388	47.3158	69.6134	62.1745	95	0.24624	0.48824
197	137.175	137.133	14.7258	47.2938	69.6544	62.2645	411	0.25521	0.48648
199	137.139	137.125	14.7368	47.3188	69.6064	62.1715	313	0.25830	0.48727
211	136.771	136.868	14.6978	47.2088	69.3475	62.0336	244	0.27735	0.48631
223	137.493	138.487	14.7368	47.2938	69.8114	63.3244	346	0.29348	0.48817
229	137.755	138.432	14.7698	47.3938	69.8134	62.3645	264	0.30263	0.48748
233	137.293	137.133	14.7458	47.3378	69.5834	62.1895	490	0.30910	0.48857
239	137.203	138.736	14.8517	47.3108	69.7034	62.1865	512	0.31391	0.48760	# Isogeny not found
241	137.153	137.151	14.7428	47.3278	69.6554	62.1636	484	0.31684	0.48717
251	137.157	137.094	14.7208	47.2888	69.6064	62.1386	389	0.33026	0.48775
257	341.013	337.164	104.357	107.963	211.05	373.776	510	0.35377	1.95346
269	337.515	338.891	33.035	107.937	208.294	373.11	44	0.42623	1.95035
271	337.091	337.012	33.048	108.785	210.121	373.84	1020	0.42987	1.95129
277	338.064	339.051	33.3009	108.663	209.805	375.685	612	0.47490	2.01434
281	335.671	335.68	32.947	107.545	207.652	371.695	491	0.46892	1.94615
283	335.469	335.47	32.925	107.556	207.583	371.927	24	0.47901	1.94397
293	335.683	335.543	32.956	107.613	207.928	371.807	273	0.51162	1.94842
307	335.154	335.341	32.894	107.483	207.469	371.447	308	0.55059	1.94292
311	335.698	335.654	32.911	107.508	207.56	374.505	1024	0.56620	1.95568	# Isogeny not found
313	335.651	335.891	33.6639	109.275	208.364	373.537	308	0.57409	1.96651
317	339.92	339.57	33.3129	108.904	210.401	376.23	841	0.57789	1.95361
337	337.219	337.151	33.091	107.993	209.384	377.638	1024	0.64673	1.96908	# Isogeny not found
347	339.18	339.643	33.103	107.95	211.394	374.077	518	0.66608	1.94326
349	340.105	337.728	33.089	108.043	208.761	373.202	391	0.66842	1.9567
359	342.079	337.532	33.069	107.981	209.265	380.898	663	0.68994	1.95288
367	336.712	336.428	33.048	108.008	212.728	396.885	212	0.74913	2.08303
373	360.213	360.057	35.3116	115.4	223.021	399.541	123	0.76311	2.08718
379	360.025	360.135	35.3186	115.355	222.884	399.27	388	0.77129	2.08447
383	360.227	360.082	35.3086	115.343	222.886	399.152	563	0.77481	2.08033
389	359.904	359.76	35.3206	115.335	222.831	399.089	1024	0.80542	2.08403	# Isogeny not found
397 359.912 360.084 35.3146 115.262 223.022 399.222 790 0.79587 1.98475
